,INATTENTIONIND,UNDERINFL,PEDROWNOTGRNT,SPEEDING,SEVERITYCODE,ADDRTYPE_1.0,ADDRTYPE_2.0,JUNCTIONTYPE_1.0,JUNCTIONTYPE_2.0,JUNCTIONTYPE_3.0,JUNCTIONTYPE_4.0,JUNCTIONTYPE_5.0,JUNCTIONTYPE_6.0,ROADCOND_2.0,ROADCOND_3.0,ROADCOND_4.0,LIGHTCOND_1.0,LIGHTCOND_2.0,LIGHTCOND_4.0,SDOT_COLCODE_1,SDOT_COLCODE_2,SDOT_COLCODE_3,SDOT_COLCODE_4,SDOT_COLCODE_5,SDOT_COLCODE_6,SDOT_COLCODE_7,WEATHER_1.0,WEATHER_2.0,WEATHER_3.0,WEATHER_4.0
JUNCTIONTYPE_4.0,0.07937127843365309,0.01011241091783301,-0.05143187899487811,0.04455418663600133,0.0097598648287908,-0.27135505704869745,0.2721257942393637,-0.03976041366007837,-0.26456503942071596,-0.0921382455232418,1.0,-0.35374571335957544,-0.011036759760164556,0.0167758766245504,0.0009668135126865051,-0.04118145960728019,-0.0008865291762732159,-0.01335552260186676,-0.04809329713694753,0.04985879048734471,-0.06690550802500138,0.01904937303196874,-0.009557749186498201,-0.002901445106617258,-0.020502362549455623,-0.004522492644881083,0.014350173951989736,0.0022947181621255602,0.010209251777927518,-0.04003751005032011
JUNCTIONTYPE_5.0,0.03249203092055293,0.051757196163648794,-0.12170605511633902,0.04567826107852956,-0.1885140148248837,-0.6897565056145877,0.6876919809005628,-0.10109088364336387,-0.6726568250691107,-0.23426156319425825,-0.35374571335957544,1.0,-0.02806097054850056,-0.041422700411800496,0.024432146893345323,0.15631333266493905,0.022263449161378936,0.034275447749334484,0.1614613768486124,-0.022188215733407457,-0.12170105011907342,0.10195623948216621,0.02685201477955682,0.014715916969118574,-0.03015940829728607,-0.0010148880700691118,-0.03634776533786405,0.0023705464867814097,-0.024370673510603406,0.15561308067649404
JUNCTIONTYPE_6.0,0.008809440516047798,-0.0007446128037025568,-0.004778298504542721,0.005042648213075286,0.0001828531151155528,-0.009866419824796649,0.009937686202004652,-0.003154005135827462,-0.020986690435956037,-0.007308890246222856,-0.011036759760164556,-0.02806097054850056,1.0,0.007123908596792954,-0.0022428764529676083,-0.0031702373652724865,0.0024949714202466213,-0.00046686534083545644,-0.004991619042385855,-0.0043346567656828506,-0.004534305495486352,0.009555107388262466,-0.0011376422767877146,-0.0007517686401642441,0.0010524012249634137,-0.0009156509451512803,0.002659902550079584,0.0077300766085556735,0.00270958656261631,-0.00502888048883677
ROADCOND_2.0,-0.019413010829602707,0.016225593597796708,0.01147033586694615,0.1306980111644396,0.028899248022828172,0.03568222275209755,-0.03508376659045569,-0.004361785076678135,0.036966751042348055,-0.008599101087919317,0.0167758766245504,-0.041422700411800496,0.007123908596792954,1.0,-0.04525593501007801,-0.15567081021671256,0.17599759587004954,0.032020850111766974,-0.10974589377689722,-0.039390807840596266,0.005861760295695411,0.08166445075189761,-0.0012780896146846567,-0.002449859954923831,-0.02212436598900966,-0.0040121623480755585,0.7513977336815548,0.011755890664807351,0.12778381879388323,-0.13304667285360014
ROADCOND_3.0,-0.018390626326111933,-0.0011424423332457453,-0.00578879298072105,0.05327667831444207,-0.021427511685882833,-0.022979565308614888,0.02255476747949841,0.0001786965398574032,-0.023174571170281707,-0.006572869094107382,0.0009668135126865051,0.024432146893345323,-0.0022428764529676083,-0.04525593501007801,1.0,-0.019764655790046732,0.029991370324486826,0.005468518530544292,0.022639246657945245,-0.014068255100430214,-0.008250370363732294,0.02889343565315585,0.0008643491710964942,-0.0019259121162050607,-0.005745626380803729,-0.002345752609602947,0.08814886999319886,0.006686831815758219,-0.0017047743642917964,0.008735610547015056
ROADCOND_4.0,-0.07405238729236424,-0.055062872273609786,-0.023468662437195982,-0.050145364997964695,-0.1382993202707791,-0.12188225462508369,0.12059876708489971,0.0204349515090686,-0.12775673902473253,-0.027183888721690787,-0.04118145960728019,0.15631333266493905,-0.0031702373652724865,-0.15567081021671256,-0.019764655790046732,1.0,-0.10825359413197186,-0.006662919895465284,0.6867015738301433,-0.02819323054029096,-0.03839204656749806,-0.04782507446462756,-0.004192408008966697,-0.003978958761100272,-0.019595340903263495,-0.005171677259864931,-0.1206043541910831,-0.011124346392448843,-0.0884425613143527,0.8894373895038375
LIGHTCOND_1.0,-0.04722316412123336,0.22266870389437982,0.004178518339134477,0.08850925357661932,-0.004408382285525412,-0.004369392582904332,0.004830940164011981,-0.010887507441114386,-0.00196618968022336,-0.03797834901192236,-0.0008865291762732159,0.022263449161378936,0.0024949714202466213,0.17599759587004954,0.029991370324486826,-0.10825359413197186,1.0,-0.07999913233127715,-0.1647542680143651,-0.08763222084730703,0.010341151096112266,0.13559716202674654,-0.0022676347550435894,0.002814690149744566,-0.014819182777125309,-0.007437358184745027,0.15839418534849856,0.03200417283903212,0.028830627622557895,-0.10403542465630215
LIGHTCOND_2.0,-0.00902364042727904,0.028587039262089026,-0.0011219252581541426,0.0169845631955585,-0.016822413105508343,-0.022428128907523007,0.020805553831597615,-0.0032886464076796115,-0.02182490856013423,-0.00892522077404404,-0.01335552260186676,0.034275447749334484,-0.00046686534083545644,0.032020850111766974,0.005468518530544292,-0.006662919895465284,-0.07999913233127715,1.0,-0.030043460906026543,-0.028763218946844638,-0.0001433354642751223,0.04170184316067355,0.006121998990129736,0.0005486788969168109,-0.003373687770190766,-0.002252242421371464,0.0243340915333543,0.017199471761270846,0.002064791287192997,-0.0016537914339872085
LIGHTCOND_4.0,-0.07453923323712662,-0.05064353388538413,-0.02800988859094778,-0.046114894592634875,-0.13488761727163598,-0.12122724083982808,0.12007756766915482,0.02397245287949647,-0.12786021614429038,-0.029665077648672343,-0.04809329713694753,0.1614613768486124,-0.004991619042385855,-0.10974589377689722,0.022639246657945245,0.6867015738301433,-0.1647542680143651,-0.030043460906026543,1.0,-0.013790405183261047,-0.04288852345242335,-0.04365554345857064,-0.004092620886280171,-0.004481525531747687,-0.017724380551186462,-0.007697577696906515,-0.08929191078256024,-0.008647920879523142,-0.07796957649396097,0.6979878084771863
SDOT_COLCODE_1,0.03116266429744663,-0.10411618294154575,-0.36559918110626993,-0.14876444013067022,-0.17425710638141906,-0.023483775371148423,0.027095199671393337,0.011011770048647439,-0.02594109130354536,0.02574694271557762,0.04985879048734471,-0.022188215733407457,-0.0043346567656828506,-0.039390807840596266,-0.014068255100430214,-0.02819323054029096,-0.08763222084730703,-0.028763218946844638,-0.013790405183261047,1.0,-0.5448441852844652,-0.6625969831951489,-0.08844620043946587,-0.05844638617011146,-0.2206804248791006,-0.07118744501693794,-0.031378720273013604,-0.008389075449465891,0.001603969679517895,-0.022311965394507968
